:START_ID,:END_ID,:TYPE,change_type
dieu_190_2013,dieukien_chuyendoiquyensudungdatnongnghiep,QUY_DINH_VE,
dieu_190_2013,chuthe_hogiadinh,AP_DUNG_CHO,
dieu_190_2013,chuthe_canhan,AP_DUNG_CHO,
dieu_190_2013,hanhviphaply_chuyendoiquyensudungdatnongnghiep,QUY_DINH_VE,
dieu_159_2013,khainiem_datcosotongiao,QUY_DINH_VE,
dieu_159_2013,chuthe_chua,QUY_DINH_VE,
dieu_159_2013,chuthe_nhatho,QUY_DINH_VE,
dieu_159_2013,chuthe_nhanguyen,QUY_DINH_VE,
dieu_159_2013,chuthe_thanhthat,QUY_DINH_VE,
dieu_159_2013,chuthe_thanhduong,QUY_DINH_VE,
dieu_159_2013,chuthe_niemphatduong,QUY_DINH_VE,
dieu_159_2013,chuthe_tuvien,QUY_DINH_VE,
dieu_159_2013,chuthe_truongdaotaoriengcuatongiao,QUY_DINH_VE,
dieu_159_2013,chuthe_trusocuatochuctongiao,QUY_DINH_VE,
dieu_159_2013,chuthe_caccosokhaccuatongiao,QUY_DINH_VE,
dieu_15_2013,chuthe_nhanuoc,QUY_DINH_VE,
dieu_15_2013,khainiem_hanmucsudungdat,QUY_DINH_VE,
dieu_15_2013,khainiem_thoihansudungdat,QUY_DINH_VE,
dieu_15_2013,khainiem_hanmucgiaodatnongnghiep,QUY_DINH_VE,
dieu_15_2013,khainiem_hanmucgiaodato,QUY_DINH_VE,
dieu_15_2013,khainiem_hanmuccongnhanquyensudungdato,QUY_DINH_VE,
dieu_15_2013,khainiem_hanmucnhanchuyenquyensudungdatnongnghiep,QUY_DINH_VE,
dieu_15_2013,khainiem_sudungdatonlaudai,QUY_DINH_VE,
dieu_15_2013,khainiem_sudungdatcothoihan,QUY_DINH_VE,
dieu_123_2013,khainiem_dichvucongdientu,QUY_DINH_VE,
dieu_123_2013,hanhviphaply_dangkydatdai,QUY_DINH_VE,
dieu_123_2013,hanhviphaply_giaodichdatdai,QUY_DINH_VE,
dieu_123_2013,hanhviphaply_cungcapthongtindatdai,QUY_DINH_VE,
dieu_123_2013,chuthe_coquanquanlydatdai,QUY_DINH_VE,
dieu_123_2013,chuthe_tochuc,AP_DUNG_CHO,
dieu_123_2013,chuthe_canhan,AP_DUNG_CHO,
dieu_137_2013,khainiem_datrungdacdung,QUY_DINH_VE,
dieu_137_2013,chuthe_nhanuoc,QUY_DINH_VE,
dieu_137_2013,chuthe_tochucquanlyrungdacdung,QUY_DINH_VE,
dieu_137_2013,chuthe_hogiadinh,QUY_DINH_VE,
dieu_137_2013,chuthe_canhan,QUY_DINH_VE,
dieu_137_2013,chuthe_ubndcapcothamquyen,QUY_DINH_VE,
dieu_137_2013,chuthe_ubndcaptinh,QUY_DINH_VE,
dieu_137_2013,chuthe_tochuckinhte,QUY_DINH_VE,
dieu_184_2013,chuthe_doanhnghiepliendoanh,QUY_DINH_VE,
dieu_184_2013,chuthe_tochucnuocngoai,QUY_DINH_VE,
dieu_184_2013,chuthe_canhannuocngoai,QUY_DINH_VE,
dieu_184_2013,chuthe_nguoivietnamdinhcuonuocngoai,QUY_DINH_VE,
dieu_184_2013,chuthe_tochuckinhte,QUY_DINH_VE,
dieu_184_2013,dieu_174_2013,QUY_DINH_VE,
dieu_184_2013,chuthe_nhanuoc,QUY_DINH_VE,
dieu_184_2013,chuthe_doanhnghiepnhanuoc,QUY_DINH_VE,
dieu_184_2013,chuthe_doanhnghiep100vonnuocngoai,QUY_DINH_VE,
dieu_184_2013,dieu_183_2013,QUY_DINH_VE,
dieu_184_2013,dieu_56_2013,QUY_DINH_VE,
dieu_184_2013,dieu_55_2013,QUY_DINH_VE,
dieu_93_2013,hanhviphaply_chitratienboithuong,QUY_DINH_VE,
dieu_93_2013,chuthe_coquannhanuoc,QUY_DINH_VE,
dieu_93_2013,chuthe_coquantochuccotrachnhiemboithuong,QUY_DINH_VE,
dieu_93_2013,chuthe_nguoicodatthuhoi,QUY_DINH_VE,
dieu_93_2013,khainiem_phuonganboithuonghotrotataidincu,QUY_DINH_VE,
dieu_93_2013,chuthe_kho_bacnhanuoc,QUY_DINH_VE,
dieu_93_2013,chuthe_nguoisudungdat,QUY_DINH_VE,
dieu_93_2013,chuthe_nhanuoc,QUY_DINH_VE,
dieu_20_2013,chuthe_nhanuoc,QUY_DINH_VE,
dieu_20_2013,khainiem_nguoisudungdat,QUY_DINH_VE,
dieu_20_2013,hanhviphaply_giaodat,QUY_DINH_VE,
dieu_20_2013,hanhviphaply_chothuedat,QUY_DINH_VE,
dieu_20_2013,hanhviphaply_congnhanquyensudungdat,QUY_DINH_VE,
dieu_20_2013,khainiem_nguongocsudungdat,QUY_DINH_VE,
dieu_20_2013,khainiem_nghiavutaichinh,QUY_DINH_VE,
dieu_178_2013,chuthe_tochuc_kinhte,QUY_DINH_VE,
dieu_178_2013,hanhviphaply_thuedat,QUY_DINH_VE,
dieu_178_2013,khainiem_congtrinhngam,QUY_DINH_VE,
chuthe_tochuc_kinhte,hanhviphaply_thuedat,AP_DUNG_CHO,
chuthe_tochuc_kinhte,chuthe_nhanuoc,AP_DUNG_CHO,
dieu_208_2013,chuthe_chutichuybanndcaccap,QUY_DINH_VE,
dieu_208_2013,hanhviphaply_phathiennganchansuly,QUY_DINH_VE,
dieu_208_2013,khainiem_quanlyvasudungdatdai,QUY_DINH_VE,
dieu_208_2013,chuthe_chutichuybanndcapxa,QUY_DINH_VE,
dieu_208_2013,hanhviphaply_chuyenquyensddtraiphep,QUY_DINH_VE,
dieu_208_2013,hanhviphaply_chuyenmucdichsddtraiphep,QUY_DINH_VE,
dieu_208_2013,hanhviphaply_xaydungcongtrinhtrendatlan,QUY_DINH_VE,
dieu_208_2013,hanhviphaply_khoiphuctinhtrangdat,QUY_DINH_VE,
dieu_34_2013,khainiem_thongkedatdai,QUY_DINH_VE,
dieu_34_2013,khainiem_kiemkedatdai,QUY_DINH_VE,
dieu_34_2013,khainiem_bandohientrangsudungdat,QUY_DINH_VE,
dieu_34_2013,chuthe_uybanndcaccap,QUY_DINH_VE,
dieu_34_2013,chuthe_uybanndcapxa,QUY_DINH_VE,
dieu_34_2013,chuthe_uybanndcaphuyen,QUY_DINH_VE,
dieu_34_2013,chuthe_uybanndcaptinh,QUY_DINH_VE,
dieu_34_2013,chuthe_boquocphong,QUY_DINH_VE,
dieu_34_2013,chuthe_bocongan,QUY_DINH_VE,
dieu_34_2013,chuthe_botnmt,QUY_DINH_VE,
dieu_34_2013,chuthe_thutuongcp,QUY_DINH_VE,
dieu_102_2013,chuthe_tochuc,QUY_DINH_VE,
dieu_102_2013,chuthe_cosotongiao,QUY_DINH_VE,
dieu_102_2013,hanhviphaply_capgiaychungnhan,QUY_DINH_VE,
dieu_102_2013,chuthe_nhanuoc,QUY_DINH_VE,
dieu_102_2013,chuthe_uybanndcaphuyen,QUY_DINH_VE,
dieu_102_2013,chuthe_doanhnghiepnhanuoc,QUY_DINH_VE,
dieu_102_2013,chuthe_hogiadinh,QUY_DINH_VE,
dieu_102_2013,chuthe_canhan,QUY_DINH_VE,
dieu_102_2013,chuthe_coquanquanlydatdai,QUY_DINH_VE,
dieu_102_2013,dieukien_duocnhanuocchophep,YEU_CAU,
dieu_102_2013,dieukien_khongcotranhchap,YEU_CAU,
dieu_102_2013,dieukien_khongnhanchuyennhuong,YEU_CAU,
dieu_87_2013,khainiem_boithuong,QUY_DINH_VE,
dieu_87_2013,khainiem_hotro,QUY_DINH_VE,
dieu_87_2013,khainiem_taidinhcu,QUY_DINH_VE,
dieu_87_2013,chuthe_quochoi,QUY_DINH_VE,
dieu_87_2013,chuthe_thutuongchinhphu,QUY_DINH_VE,
dieu_87_2013,chuthe_conggdongdancu,QUY_DINH_VE,
dieu_87_2013,chuthe_nhanuocvietnam,QUY_DINH_VE,
dieu_87_2013,chuthe_nguoicodatthuhoi,QUY_DINH_VE,
dieu_87_2013,chuthe_chinhphu,QUY_DINH_VE,
dieu_18_2013,chuthe_nhanuoc,QUY_DINH_VE,
dieu_18_2013,hanhviphaply_quyetdinhgiadat,QUY_DINH_VE,
dieu_18_2013,hanhviphaply_quydinhnguyentacphuongphap,QUY_DINH_VE,
dieu_18_2013,hanhviphaply_banhanhkhunggiadat,QUY_DINH_VE,
dieu_18_2013,khainiem_giadat,QUY_DINH_VE,
dieu_18_2013,khainiem_khunggiadat,QUY_DINH_VE,
dieu_18_2013,khainiem_banggia,QUY_DINH_VE,
dieu_18_2013,hanhviphaply_quyetdinhgiadatcuthe,QUY_DINH_VE,
dieu_154_2013,khainiem_datsanxuatvatlieuxaydunglamdogom,QUY_DINH_VE,
dieu_154_2013,chuthe_hogiadinh,QUY_DINH_VE,
dieu_154_2013,chuthe_canhan,QUY_DINH_VE,
dieu_154_2013,chuthe_nhanuoc,QUY_DINH_VE,
dieu_154_2013,chuthe_tochuc,QUY_DINH_VE,
dieu_154_2013,chuthe_nguoivietnamdincuonuocngoai,QUY_DINH_VE,
dieu_154_2013,chuthe_doanhnghiepvocondautunuocngoai,QUY_DINH_VE,
dieu_154_2013,hanhviphaply_khaitacnguyenlieu,QUY_DINH_VE,
dieu_154_2013,dieukien_quyetdinhchothuedat,YEU_CAU,
dieu_154_2013,dieukien_thuchiencacbienphap,YEU_CAU,
dieu_154_2013,dieukien_nguoisudungdattralai,YEU_CAU,
dieu_62_2013,hanhviphaply_thuhoidat,QUY_DINH_VE,
dieu_62_2013,khainiem_phattrienkinhtexahoi,QUY_DINH_VE,
dieu_62_2013,khainiem_loiichquocgiacongcong,QUY_DINH_VE,
dieu_62_2013,chuthe_nhanuoc,AP_DUNG_CHO,
dieu_62_2013,chuthe_quochoi,AP_DUNG_CHO,
dieu_62_2013,chuthe_thutuongchinhphu,AP_DUNG_CHO,
dieu_62_2013,chuthe_hdndcapptinh,AP_DUNG_CHO,
dieu_62_2013,khainiem_duanquantrongquocgia,QUY_DINH_VE,
dieu_62_2013,khainiem_khucongnghiep,QUY_DINH_VE,
dieu_62_2013,khainiem_khuchexuat,QUY_DINH_VE,
dieu_62_2013,khainiem_khucongnghecao,QUY_DINH_VE,
dieu_62_2013,khainiem_khukinhte,QUY_DINH_VE,
dieu_62_2013,khainiem_khudothimoi,QUY_DINH_VE,
dieu_62_2013,khainiem_vonoda,QUY_DINH_VE,
dieu_62_2013,khainiem_trusocoquannhanuoc,QUY_DINH_VE,
dieu_62_2013,khainiem_tochucchinhchi,QUY_DINH_VE,
dieu_62_2013,khainiem_tochucchinhchixahoi,QUY_DINH_VE,
dieu_62_2013,khainiem_tochucnuocngoaichucnangngoaigiao,QUY_DINH_VE,
dieu_62_2013,khainiem_congtrinhditichlichsuvanhoa,QUY_DINH_VE,
dieu_62_2013,khainiem_danhlamthangcanh,QUY_DINH_VE,
dieu_62_2013,khainiem_congvien,QUY_DINH_VE,
dieu_62_2013,khainiem_quangtruong,QUY_DINH_VE,
dieu_62_2013,khainiem_tuongdai,QUY_DINH_VE,
dieu_62_2013,khainiem_biatuongniem,QUY_DINH_VE,
dieu_62_2013,khainiem_congtrinhsunghiepcongcapquocgia,QUY_DINH_VE,
dieu_62_2013,khainiem_ketcauhagtangkythuatcapquocgia,QUY_DINH_VE,
dieu_62_2013,khainiem_giaothong,QUY_DINH_VE,
dieu_62_2013,khainiem_thuyloi,QUY_DINH_VE,
dieu_62_2013,khainiem_capnuoc,QUY_DINH_VE,
dieu_62_2013,khainiem_thoatnuoc,QUY_DINH_VE,
dieu_62_2013,khainiem_dienluc,QUY_DINH_VE,
dieu_62_2013,khainiem_thongtinlienlac,QUY_DINH_VE,
dieu_62_2013,khainiem_hethongdanchuaxangdaukhidot,QUY_DINH_VE,
dieu_62_2013,khainiem_khodutruquocgia,QUY_DINH_VE,
dieu_62_2013,khainiem_congtrinhthugomxulychatthai,QUY_DINH_VE,
dieu_62_2013,khainiem_congtrinhsunghiepcongcapdiaohoung,QUY_DINH_VE,
dieu_62_2013,khainiem_chieu_sangdothi,QUY_DINH_VE,
dieu_62_2013,khainiem_congtrinhphucvusinhhoatchung,QUY_DINH_VE,
dieu_62_2013,khainiem_duantaidinhcu,QUY_DINH_VE,
dieu_62_2013,khainiem_nhaocho_sinhvien,QUY_DINH_VE,
dieu_62_2013,khainiem_nhaoxahoi,QUY_DINH_VE,
dieu_62_2013,khainiem_nhaoocongvu,QUY_DINH_VE,
dieu_62_2013,khainiem_congtrinhcosotoniao,QUY_DINH_VE,
