:START_ID,:END_ID,:TYPE
dieu_217_2024,khainiem_datchuasudung,QUY_DINH_VE
dieu_122_2024,chuthe_coquannhanhanuoc,QUY_DINH_VE
dieu_200_2024,chuthe_chinhphu,QUY_DINH_VE
dieu_173_2024,khainiem_datrungphongho,QUY_DINH_VE
dieu_27_2024,hanhviphaply_chuyennhuong,QUY_DINH_VE
dieu_9_2024,khainiem_datcongtrinhthuyloi,QUY_DINH_VE
dieu_55_2024,chuthe_chinhphu,QUY_DINH_VE
dieu_223_2024,hanhviphaply_thutuccungcapthongtin,QUY_DINH_VE
dieu_145_2024,chuthe_hogiadinh,QUY_DINH_VE
dieu_133_2024,hanhviphaply_chuyennhuongdat,QUY_DINH_VE
dieu_75_2024,chuthe_ubanndcaphuyen,QUY_DINH_VE
dieu_194_2024,chuthe_nhadautu,QUY_DINH_VE
dieu_174_2024,khainiem_banan,QUY_DINH_VE
dieu_163_2024,hanhviphaply_xaydunghethongthongtin,QUY_DINH_VE
dieu_134_2024,khainiem_giaychungnhanquyenquyen,QUY_DINH_VE
dieu_228_2024,hanhviphaply_nophosodenghi,QUY_DINH_VE
dieu_100_2024,chuthe_tcktvonnuocngoai,QUY_DINH_VE
dieu_142_2024,khainiem_giaychungnhan,QUY_DINH_VE
dieu_11_2024,hanhviphaply_phanbietdoixu,QUY_DINH_VE
dieu_124_2024,dieu_79_2024,QUY_DINH_VE
dieu_133_2024,hanhviphaply_dieuchuyentaisan,QUY_DINH_VE
dieu_219_2024,chuthe_chinhphu,QUY_DINH_VE
dieu_3_2024,khainiem_tienthuedat,ĐỊNH_NGHĨA
dieu_98_2024,dieukien_duocboiduong,YEU_CAU
dieu_237_2024,hanhviphaply_khieunai,QUY_DINH_VE
dieu_75_2024,chuthe_botainguyenvamientruong,QUY_DINH_VE
dieu_4_2024,chuthe_tochucxahoinghenghiep,QUY_DINH_VE
dieu_200_2024,dieu_78_2024,QUY_DINH_VE
dieu_27_2024,hanhviphaply_chothuelai,QUY_DINH_VE
dieu_59_2024,chuthe_chu_tichubndcaptinh,QUY_DINH_VE
dieu_205_2024,chuthe_ubnd_cap_tinh,QUY_DINH_VE
dieu_243_2024,khainiem_quyhoachsudungdatcaptinh,QUY_DINH_VE
dieu_38_2024,chuthe_canhan,QUY_DINH_VE
dieu_236_2024,chuthe_toaan,QUY_DINH_VE
dieu_93_2024,hanhviphaply_tachnoidungboithuong,QUY_DINH_VE
dieu_33_2024,chuthe_tochuctindung,QUY_DINH_VE
dieu_159_2024,khainiem_banggia,QUY_DINH_VE
dieu_4_2024,chuthe_tochuctongiao,QUY_DINH_VE
dieu_156_2024,hanhviphaply_chuyenmucdich,QUY_DINH_VE
dieu_220_2024,dieukien_baodamlotdi,YEU_CAU
dieu_35_2024,hanhviphaply_chuyenmucdich,QUY_DINH_VE
dieu_37_2024,khainiem_quyensudungdat,QUY_DINH_VE
dieu_193_2024,chuthe_chinhphu,QUY_DINH_VE
dieu_132_2024,chuthe_nha_nuoc,QUY_DINH_VE
chuthe_tochuctuvanxacdinhgiadat,hanhviphaply_baocaoketquatuvan,QUY_DINH_VE
dieu_200_2024,hanhviphaply_sapsxepxulytaisan,QUY_DINH_VE
dieu_64_2024,khainiem_dulieuquyhoachkehoachsudungdat,QUY_DINH_VE
dieu_9_2024,khainiem_datkhucongnghiep,QUY_DINH_VE
dieu_76_2024,chuthe_thutuongchinhphu,QUY_DINH_VE
dieu_60_2024,chuthe_canhan,QUY_DINH_VE
dieu_165_2024,khainiem_dieutradanhgiabaove,QUY_DINH_VE
chetai_thuhoidat,dieukien_khongconkhnangtieptucsudung,YEU_CAU
dieu_33_2024,hanhviphaply_nhanuocchothuedat,QUY_DINH_VE
dieu_163_2024,khainiem_xahoiso,QUY_DINH_VE
