:START_ID,:END_ID,:TYPE
dieu_179_2013,hanhviphaply_chuyendoiquyensudungdat,QUY_DINH_VE
dieu_179_2013,chuthe_canhan,QUY_DINH_VE
dieu_68_2013,chuthe_hogiadinh,QUY_DINH_VE
chuthe_ubnd_cap_tinh,hanhviphaply_quydinhmucdat,YEU_CAU
dieu_29_2013,chuthe_bo_truong_bo_tainguyenvmoitruong,QUY_DINH_VE
dieu_152_2013,chuthe_nguoivietnamdincuonuocngoai,QUY_DINH_VE
dieu_55_2013,chuthe_nguoiVietNamdinhcuonuocto,AP_DUNG_CHO
dieu_171_2013,hanhviphaply_capkhiga,QUY_DINH_VE
dieu_177_2013,chuthe_doanh_nghiep,QUY_DINH_VE
dieu_173_2013,hanhviphaply_chuyennhuong,QUY_DINH_VE
dieu_174_2013,hanhviphaply_nhanuocgiaodat,QUY_DINH_VE
dieu_74_2013,chetai_boithuong,QUY_DINH_VE
dieu_167_2013,hanhviphaply_chothue,QUY_DINH_VE
dieu_194_2013,hanhviphaply_chuyennhuongdat,QUY_DINH_VE
dieu_174_2013,chuthe_tochucsunghiepconglaptutuchitich,QUY_DINH_VE
dieu_163_2013,chuthe_nha_nuoc,QUY_DINH_VE
dieu_167_2013,hanhviphaply_thechap,QUY_DINH_VE
dieu_150_2013,chuthe_banquanlykhucongnghecao,QUY_DINH_VE
dieu_151_2013,dieukien_thuedat,QUY_DINH_VE
dieu_177_2013,chuthe_nha_nuoc,QUY_DINH_VE
dieu_210_2013,chuthe_canhan,QUY_DINH_VE
dieu_33_2013,hanhviphaply_dieutra,QUY_DINH_VE
dieu_10_2013,khainiem_dattrongcaylaunam,QUY_DINH_VE
dieu_3_2013,khainiem_giaychungnhanquyensudungdatquyensohuunhaoataisankhacganlienvoidat,DINH_NGHIA
dieu_186_2013,khainiem_sohuunhaoovietnam,QUY_DINH_VE
dieu_36_2013,khainiem_hethongquyhoachkehoachsudungdat,QUY_DINH_VE
dieu_51_2013,khainiem_quyhoachkehachsudungdat,QUY_DINH_VE
dieu_23_2013,chuthe_chinhphu,QUY_DINH_VE
dieu_211_2013,dieukien_ngay01thang7nam2014,QUY_ĐỊNH_VỀ
dieu_151_2013,chuthe_khukinhte,QUY_DINH_VE
dieu_139_2013,khainiem_sanxuatnongnghiep,QUY_DINH_VE
dieu_72_2013,chuthe_bo_truong_bo_giaothongvantai,QUY_DINH_VE
dieu_125_2013,khainiem_datlamnghiatrangnghiadia,QUY_DINH_VE
dieu_70_2013,chuthe_ubanndcaphuyen,QUY_DINH_VE
dieu_148_2013,chuthe_nguoidangsudungdat,QUY_DINH_VE
dieu_101_2013,dieukien_khongcotranhchap,YEU_CAU
dieu_162_2013,chuthe_ubnd_cap_tinh,QUY_DINH_VE
dieu_91_2013,khainiem_thiethai_thaodo,QUY_DINH_VE
dieu_167_2013,chuthe_tochuchnghecongchung,QUY_DINH_VE
dieu_107_2013,khainiem_thuenhaptuchuyenquyen,QUY_DINH_VE
dieu_70_2013,chuthe_chutich_ubnd_caphuyen,QUY_DINH_VE
dieu_56_2013,chuthe_doanhnghiepcovondautunuocngoai,QUY_DINH_VE
dieu_150_2013,chuthe_nguoisudungdat,QUY_DINH_VE
dieu_62_2013,khainiem_tochucnuocngoaichucnangngoaigiao,QUY_DINH_VE
dieu_70_2013,chuthe_nguoibicuongche,QUY_DINH_VE
chuthe_congdan,hanhviphaply_phananhsaipham,YEU_CAU
dieu_99_2013,chuthe_hogiadinh,QUY_DINH_VE
dieu_51_2013,hanhviphaply_congnhanquyensudungdat,QUY_DINH_VE
dieu_189_2013,dieukien_khongviphamquydinh,YEU_CAU
dieu_22_2013,hanhviphaply_lapbandodiachinh,QUY_DINH_VE
dieu_167_2013,chuthe_hogiadinh,QUY_DINH_VE
dieu_5_2013,chuthe_hogiadinhcanhan,QUY_DINH_VE
dieu_126_2013,hanhviphaply_congnhanquyensudungdat,QUY_DINH_VE
dieu_87_2013,chuthe_quochoc,QUY_DINH_VE
dieu_15_2013,khainiem_hanmuccongnhanquyensudungdato,QUY_DINH_VE
dieu_18_2013,khainiem_giadat,QUY_DINH_VE
dieu_154_2013,chuthe_tochickinhte,QUY_DINH_VE
dieu_160_2013,khainiem_congtrinhdinh,QUY_DINH_VE
dieu_151_2013,chuthe_nha_nuoc,QUY_DINH_VE
dieu_208_2013,hanhviphaply_phathiennganchansuly,QUY_DINH_VE
dieu_25_2013,khainiem_congchucdiachinh,QUY_DINH_VE
dieu_163_2013,chuthe_hogiadinh,QUY_DINH_VE
dieu_177_2013,chuthe_hogiadinh,QUY_DINH_VE
dieu_59_2013,chuthe_nguoiVietNamdinhcuonuocto,QUY_DINH_VE
dieu_163_2013,chuthe_nguoivietnamdincuonuocngoai,QUY_DINH_VE
dieu_4_2013,chuthe_nha_nuoc,QUY_DINH_VE
dieu_69_2013,chuthe_ubmttqvncapxa,QUY_DINH_VE
dieu_166_2013,hanhviphaply_duochuongdan,QUY_DINH_VE
dieu_71_2013,chuthe_nguoicotaisan,QUY_DINH_VE
dieu_62_2013,khainiem_khukinhte,QUY_DINH_VE
dieu_28_2013,hanhviphaply_tiepcancapthongtin,QUY_DINH_VE
dieu_169_2013,chuthe_cosotongiao,QUY_DINH_VE
dieu_95_2013,chuthe_nhomnguoisudungdatchung,QUY_DINH_VE
dieu_32_2013,hanhviphaply_xaydungvaduytrihethongquantrac,QUY_DINH_VE
dieu_91_2013,chuthe_ubnd_cap_tinh,QUY_DINH_VE
dieu_62_2013,chuthe_nha_nuoc,AP_DUNG_CHO
dieu_97_2013,khainiem_quyensohuunhao,QUY_DINH_VE
dieu_66_2013,chuthe_xa,QUY_DINH_VE
dieu_191_2013,khainiem_datrungphongho,QUY_DINH_VE
dieu_135_2013,hanhvi_giaodat,QUY_DINH_VE
dieu_165_2013,chuthe_hogiadinh,QUY_DINH_VE
dieu_102_2013,dieukien_duocnhanuocchophep,YEU_CAU
khainiem_datnongnghiep,chuthe_nha_nuoc,QUY_DINH_VE
dieu_157_2013,khainiem_hanhlangbaoveantoan,QUY_DINH_VE
dieu_1_2013,khainiem_chedoquanlyvasudung,QUY_DINH_VE
dieu_151_2013,chuthe_hogiadinh,QUY_DINH_VE
dieu_170_2013,chuthe_nguoisudungdat,QUY_DINH_VE
dieu_26_2013,hanhviphaply_baohopquyensudungdat,QUY_DINH_VE
dieu_131_2013,chuthe_congdong,QUY_DINH_VE
dieu_62_2013,khainiem_congtrinhcosotoniao,QUY_DINH_VE
dieu_101_2013,chuthe_hogiadinh,QUY_DINH_VE
dieu_10_2013,khainiem_datlammuoi,QUY_DINH_VE
dieu_31_2013,hanhviphaply_dodaclapbando,QUY_DINH_VE
dieu_50_2013,chuthe_ubanndancapxa,QUY_DINH_VE
dieu_18_2013,hanhviphaply_quyetdinhgiadat,QUY_DINH_VE
dieu_43_2013,chuthe_nhandan,QUY_DINH_VE
dieu_12_2013,hanhviphaply_sudungdatgiaodichkhongdangkydangkydatdai,QUY_DINH_VE
dieu_152_2013,khainiem_datdelammabangchebienkhoangsan,QUY_DINH_VE
dieu_34_2013,chuthe_ubnd_cap_tinh,QUY_DINH_VE
dieu_82_2013,hanhviphaply_boithuongvedat,QUY_DINH_VE
dieu_83_2013,khainiem_hotrokhac,QUY_DINH_VE
dieu_159_2013,chuthe_thanhthat,QUY_DINH_VE
dieu_95_2013,chuthe_tochickinhte,QUY_DINH_VE
dieu_3_2013,chuthe_hogiadinh,DINH_NGHIA
dieu_197_2013,khainiem_thutuchinhvedatdai,QUY_DINH_VE
dieu_143_2013,khainiem_khudancunongthon,QUY_DINH_VE
dieu_166_2013,hanhviphaply_duocbaohotro,QUY_DINH_VE
dieu_68_2013,chuthe_canhan,QUY_DINH_VE
dieu_42_2013,chuthe_ubanndcaphuyen,QUY_DINH_VE
dieu_44_2013,khainiem_quydatsdd,QUY_DINH_VE
dieu_182_2013,khainiem_dieuuocquocte,QUY_DINH_VE
dieu_132_2013,chuthe_xa,QUY_DINH_VE
dieu_95_2013,chuthe_tochucdangkydatdai,QUY_DINH_VE
dieu_140_2013,chuthe_tochickinhte,QUY_DINH_VE
dieu_101_2013,khainiem_giaychungnhan,QUY_DINH_VE
dieu_89_2013,chuthe_nguoiVietNamdinhcuonuocto,QUY_DINH_VE
dieu_145_2013,chuthe_chinhphu,QUY_DINH_VE
dieu_46_2013,hanhviphaply_dieuchinhquyhoach,QUY_DINH_VE
dieu_62_2013,khainiem_nhatanglenhanhottang,QUY_DINH_VE
dieu_88_2013,chuthe_doanhnghiepcovondautunuocngoai,QUY_DINH_VE
dieu_62_2013,khainiem_duantaidinhcu,QUY_DINH_VE
chuthe_nha_nuoc,hanhvi_giaodat,YEU_CAU
chuthe_nha_nuoc,hanhviphaply_quyetdinhchinhsachthuchi,QUY_DINH_VE
dieu_39_2013,khainiem_datsudung,QUY_DINH_VE
dieu_62_2013,khainiem_quangtruong,QUY_DINH_VE
dieu_42_2013,chuthe_botainguyenvamientruong,QUY_DINH_VE
dieu_170_2013,hanhviphaply_thuchienbienphapbaovedat,QUY_DINH_VE
dieu_52_2013,khainiem_dongiiaodat,QUY_DINH_VE
dieu_141_2013,chuthe_doanhnghiepcovondautunuocngoai,QUY_DINH_VE
dieu_201_2013,chuthe_ubanndancaccap,AP_DUNG_CHO
dieu_105_2013,chuthe_tochucnuocngoai,QUY_DINH_VE
dieu_180_2013,chuthe_hogiadinh,QUY_DINH_VE
dieu_151_2013,chuthe_ubnd_cap_tinh,QUY_DINH_VE
hanhviphaply_cuongchethuchienquyetdinhthuhoidat,dieukien_nguoibicuongchenhanduocquyetdinh,YEU_CAU
chuthe_nguoicoquyenloiva_nghia_vulienquan,hanhviphaply_khoikien,YEU_CAU
dieu_36_2013,khainiem_quyhoachkehoachsudungdatcaphuyen,QUY_DINH_VE
dieu_35_2013,khainiem_anninhluongthuc,QUY_DINH_VE
dieu_108_2013,khainiem_giadat,QUY_DINH_VE
dieu_164_2013,chuthe_chinhphu,QUY_DINH_VE
dieu_143_2013,chuthe_ubnd_cap_tinh,QUY_DINH_VE
dieu_29_2013,chuthe_botruongbonoivu,QUY_DINH_VE
dieu_70_2013,hanhviphaply_cuongchethuchienquyetdinhkiemdembatbuoc,QUY_DINH_VE
dieu_17_2013,chuthe_nha_nuoc,QUY_DINH_VE
dieu_201_2013,chuthe_coquannhanhanuoc,AP_DUNG_CHO
dieu_83_2013,khainiem_hotroondinhdoisongvasanxuat,QUY_DINH_VE
dieu_167_2013,chuthe_canhan,QUY_DINH_VE
dieu_132_2013,chuthe_nha_nuoc,QUY_DINH_VE
dieu_170_2013,hanhviphaply_gopvonbangquyensudungdat,QUY_DINH_VE
dieu_15_2013,khainiem_hanmucsudungdat,QUY_DINH_VE
dieu_66_2013,chuthe_dato,QUY_DINH_VE
dieu_42_2013,chuthe_ubnd_cap_tinh,QUY_DINH_VE
dieu_122_2013,hanhviphaply_truycapthongtin,QUY_DINH_VE
dieu_102_2013,chuthe_coquanquanlydatdai,QUY_DINH_VE
dieu_18_2013,hanhviphaply_banhanhkhunggiadat,QUY_DINH_VE
dieu_65_2013,dieukien_datokhuvucobionhiem,QUY_DINH_VE
